text,label
You are so ugly,1
You are so ugly,1
That was the stupidest thing ever,1
Let’s collaborate on this task,0
That was a very thoughtful suggestion,0
Thank you for your quick response,0
"You are so annoying, go away",1
Let’s discuss this in our next meeting,0
It was nice talking to you,0
You look disgusting today,1
Nobody cares about your opinion,1
You did a great job on this project,0
Looking forward to working with you,0
I hate everything about you,1
Have a wonderful day ahead,0
I agree with your point,0
Your work is trash,1
Please review the attached document,0
"Shut up, nobody asked you",1
"Just quit, you're terrible at this",1
I really appreciate your support,0
Your work is trash,1
That was a very thoughtful suggestion,0
You are such a loser,1
You look disgusting today,1
You are so dumb and useless,1
Stop being such an idiot,1
You're a complete failure,1
Looking forward to working with you,0
Please review the attached document,0
"You are so annoying, go away",1
I hate everything about you,1
You are so ugly,1
You are so ugly,1
Let’s discuss this in our next meeting,0
I really appreciate your support,0
Thank you for your quick response,0
I agree with your point,0
I really appreciate your support,0
Your work is trash,1
You are a waste of space,1
I agree with your point,0
I hate everything about you,1
Stop being such an idiot,1
You did a great job on this project,0
Thank you for your quick response,0
"You are so annoying, go away",1
You are a waste of space,1
Please let me know if you need anything,0
Nobody cares about your opinion,1
It was nice talking to you,0
Can you share the latest report?,0
You look disgusting today,1
Have a wonderful day ahead,0
I agree with your point,0
You are such a loser,1
Thank you for your help today,0
I hate everything about you,1
Please review the attached document,0
Your work is trash,1
I like the way you solved this problem,0
You are completely useless,1
I can't stand you at all,1
You are a joke,1
You are so ugly,1
Good luck with your interview,0
"Shut up, nobody asked you",1
I like the way you solved this problem,0
That was the stupidest thing ever,1
Your presentation was very clear,0
I can't stand you at all,1
Congratulations on your achievement,0
You did a great job on this project,0
"Get lost, no one likes you",1
Let’s collaborate on this task,0
Can you share the latest report?,0
Nobody cares about your opinion,1
Good luck with your interview,0
Thank you for your help today,0
Hope you are doing well,0
"Shut up, nobody asked you",1
You are completely useless,1
Nobody cares about your opinion,1
Congratulations on your achievement,0
Hope you are doing well,0
You look disgusting today,1
Can we schedule a meeting tomorrow?,0
Your work is trash,1
Let’s discuss this in our next meeting,0
"Get lost, no one likes you",1
"Shut up, nobody asked you",1
Can we schedule a meeting tomorrow?,0
Can we schedule a meeting tomorrow?,0
You are such a loser,1
I can't stand you at all,1
It was nice talking to you,0
Good luck with your interview,0
Nobody cares about your opinion,1
You're a complete failure,1
Thank you for your help today,0
Stop being such an idiot,1
You are a joke,1
You did a great job on this project,0
Looking forward to working with you,0
I like the way you solved this problem,0
I really appreciate your support,0
That was the stupidest thing ever,1
"Shut up, nobody asked you",1
Please review the attached document,0
Have a wonderful day ahead,0
Have a wonderful day ahead,0
You are so dumb and useless,1
Let’s collaborate on this task,0
Can you share the latest report?,0
That was the stupidest thing ever,1
Please let me know if you need anything,0
Stop being such an idiot,1
Stop being such an idiot,1
Please let me know if you need anything,0
"Just quit, you're terrible at this",1
You are so dumb and useless,1
That was a very thoughtful suggestion,0
Thank you for your quick response,0
Your presentation was very clear,0
You look disgusting today,1
You are the worst person I know,1
I really appreciate your support,0
Congratulations on your achievement,0
"Get lost, no one likes you",1
You are a waste of space,1
That was a very thoughtful suggestion,0
You're a complete failure,1
You are pathetic,1
It was nice talking to you,0
You are the worst person I know,1
Let’s collaborate on this task,0
You are the worst person I know,1
Looking forward to working with you,0
You are such a loser,1
Can you share the latest report?,0
Thank you for your help today,0
Let’s collaborate on this task,0
Looking forward to working with you,0
"You are so annoying, go away",1
You are so dumb and useless,1
You are pathetic,1
You're a complete failure,1
Let’s discuss this in our next meeting,0
I can't stand you at all,1
You are the worst person I know,1
Your presentation was very clear,0
Can we schedule a meeting tomorrow?,0
"You are so annoying, go away",1
"Just quit, you're terrible at this",1
You are such a loser,1
You are a waste of space,1
Hope you are doing well,0
Hope you are doing well,0
You are completely useless,1
You are a joke,1
Thank you for your quick response,0
It was nice talking to you,0
Congratulations on your achievement,0
Please let me know if you need anything,0
You are the worst person I know,1
You are pathetic,1
Congratulations on your achievement,0
That was the stupidest thing ever,1
Your presentation was very clear,0
I hate everything about you,1
"Just quit, you're terrible at this",1
"Just quit, you're terrible at this",1
"Get lost, no one likes you",1
You are completely useless,1
Thank you for your help today,0
Please review the attached document,0
I like the way you solved this problem,0
You are completely useless,1
I agree with your point,0
Can you share the latest report?,0
"Get lost, no one likes you",1
You are a joke,1
I like the way you solved this problem,0
Let’s discuss this in our next meeting,0
Hope you are doing well,0
Please let me know if you need anything,0
You are a waste of space,1
Your presentation was very clear,0
You're a complete failure,1
You are pathetic,1
Can we schedule a meeting tomorrow?,0
Good luck with your interview,0
You are so dumb and useless,1
That was a very thoughtful suggestion,0
I can't stand you at all,1
Have a wonderful day ahead,0
You are pathetic,1
You are a joke,1
Good luck with your interview,0
You did a great job on this project,0
